event_date,run_date,ticker,session,run,hunter,key,claim,kind,evidence,finding,why_not_priced,expected_impact_pct,impact_low_pct,impact_high_pct,band_width_pct,sign,abs_impact_pct,share_of_impact,sole_finding,independence,source,source_domain,cluster,source_date,source_age_days,priced_in_pct,priced_in_basis,name_impact_sum,name_conviction,name_findings,above_floor,move_pct,sign_agreed,resolved
2026-08-31,2026-08-31,SY,bmo,backtest/runs/edge-corpus/2026-08-31,SY,SY#0,,,,"So-Young's own guidance shows the flagship aesthetic treatment services segment decelerating hard: with Q4 2025 results on 2026-03-25 it guided Q1 2026 to RMB268-278m, +171.2% to +181.3% year on year; with Q1 2026 results on 2026-05-22 it guided Q2 2026 to RMB307-317m, +112.6% to +119.5% - a fifty-to-sixty point drop in the guided growth rate of the only line carrying the equity story, while consolidated revenue growth was +45.6% and the GAAP loss per share widened to -$0.48 from -$0.32 with a $7.1m quarterly net loss.","Both guidance ranges are triple-digit growth numbers and read as spectacular in isolation; the deceleration only appears when the two releases are put side by side, which requires the prior quarter's guide, and there is no analyst, no consensus estimate (event.json: n_estimates 'N/A', consensus_eps_forecast null) and not one news item in the whole 42-item capture to do that arithmetic for the market. The comparison also frames Q3: the base effect that produced +170% is gone. If this were priced, a name whose loss per share is widening would not be up 30% in twenty sessions.",-4.25,-9.0,4.0,13.0,-1,4.25,0.5862,0,"Same-direction from the tape rather than the text: the market's revealed reaction function on this name already punishes growth bought with losses - the 2026-05-22 print, which carried +45.6% revenue growth and this same Q2 guide, produced a -16.48% reaction per the baseline's history block, and 5 of the 8 recorded reactions are negative including -22.73% on 2025-08-15.",https://www.sec.gov/Archives/edgar/data/1758530/000110465926065372/tm2615455d1_6k.htm,sec.gov,sec.gov,2026-05-22,101,75.0,adversary,-7.25,7.25,2,1,21.25,0,1
2026-08-31,2026-08-31,SY,bmo,backtest/runs/edge-corpus/2026-08-31,SY,SY#1,,,,"The +30.4% twenty-day advance to $2.40 has no disclosure behind it: the last SEC filing of any kind is a 6-K accepted 2026-08-04T21:15:17Z, after which the shares ran from $1.99 to $2.4250 on ordinary volume (172k twenty-day average, only two sessions above 300k), and the capture's four sweeps returned zero news items, zero analyst notes and a social feed whose only 2026 August entries are two one-line earnings-calendar posts.","This is the inverse of a priced move - the price has moved and the information has not arrived. A $233m ADR with no coverage, no consensus and a 172k-share daily book re-rated 30% into a print on nothing that the capture can see, which means the print itself has to supply the justification. Note honestly what I cannot do: the 2026-08-04 6-K body is not stored, that filing is tagged by the baseline as producing a +5.03% move, and it may well contain the reason for the whole advance - in which case this finding shrinks to the observation that the run is resting on one unread document.",-3.0,-10.0,6.0,16.0,-1,3.0,0.4138,0,"WARNING - clusters with finding 1 through the same social document, which is the only substantive body in the capture; treat as one source cluster and count the larger residual. Independent corroboration of the disclosure vacuum comes from a different file: filings.json shows no filing at all between 2026-08-04 and the 2026-08-30 index sweep.",https://www.sec.gov/Archives/edgar/data/1758530/000110465926090491/tm2622166d1_6k.htm,sec.gov,sec.gov,2026-08-04,27,72.0,adversary,-7.25,7.25,2,1,21.25,0,1
2026-08-31,2026-08-31,SAIC,bmo,backtest/runs/edge-corpus/2026-08-31,SAIC,SAIC#0,,,,"SAIC went into the print trading above the sell side: the 2026-08-28 close of $125.96 is 3.5% above the $121.50 average target of 11 analysts polled by S&P Global, the consensus rating is Hold (2 Strong Buy / 8 Hold / 1 Strong Sell, unchanged since March), the single highest target is $137 and Goldman Sachs carries a Sell at $96 - and the street's FY27 modelled EPS of $10.18 is above the top of the company's own raised guidance of $9.90-$10.10 while modelled revenue of $7.19bn sits at the top of the $7.0-7.2bn guide.","The wire copy in this same capture says the opposite of what the numbers say: eight separate price-target raises after the Q1 'beat and raise' - Jefferies to $115 then $130, Truist to $110, JPMorgan to $125, UBS to $119, TD Cowen to $130, Citi to $132, Stifel to $137, Goldman to $96 - and every single non-Buy firm raised the target while maintaining Hold, Neutral or Sell. That is target-chasing, not conviction, and it leaves an average target below spot with zero rating upgrades in six months. The tape corroborates distribution rather than accumulation: on 2026-08-28, the last session before the print, SAIC printed a new 52-week high of $130.98 intraday, opened at $129.46 and closed at $125.96, down 2.33%, on 848,500 shares against a 406,645 twenty-day average. A market that had priced an in-line-with-guidance quarter as good news would not have rejected the new high on double volume the day before.",-3.25,-10.0,6.0,16.0,-1,3.25,0.4643,0,"Same-direction, different source: the company's Q1 call commentary in docs/10d350826fb56a102779a47a99c2ab25f199dbed.txt has the CFO saying guidance was only being 'nudged up slightly' and would be revisited in Q2, and flags 'recompete roll-offs', a portfolio review and conservative guidance - management's own framing is materially more cautious than the $10.18 the street carries. https://www.gurufocus.com/news/8894371/science-applications-international-corp-saic-q1-2027-earnings-call-highlights-strong-margins-and-strategic-focus-propel-growth",https://stockanalysis.com/stocks/saic/forecast/,stockanalysis.com,AGGREGATOR,2026-08-28,3,88.0,adversary,-7.0,7.0,3,1,1.79,0,1
2026-08-31,2026-08-31,SAIC,bmo,backtest/runs/edge-corpus/2026-08-31,SAIC,SAIC#1,,,,"The Q1 FY27 beat that drove the +10.4% pop and the +37% re-rating from $92 was flattered by items the company itself identified as non-recurring: a $12 million gain from a venture investment's IPO that contributed 60 basis points to EBITDA margin and prompted the raise of full-year margin guidance to 10.1-10.3%, plus favourable timing of materials and an extension of the RITS program - while revenue guidance was left unchanged, organic growth was only 0.5%, and the lost RITS recompete is a stated $200 million revenue headwind in FY27.","The headline the market traded was 'SAIC Stock Rockets After Upbeat Q1' and 'Adj EPS $3.23 beats $2.29' - a 41% beat. The composition of that beat is in a trade-press body and in one line of a call summary, not in the wire item, and no preview in this capture mentions the venture gain. The full-year margin guide was raised on the back of a quarterly one-off, so an unchanged guide in Q2 is a de facto reduction against the street's $10.18, and the CFO scheduled exactly this quarter as the guidance re-look. If the market had discounted the one-off it would not have marked the shares up 37% in fifteen weeks to trade through the average target.",-2.75,-7.0,4.0,11.0,-1,2.75,0.3929,0,"WARNING - clusters with finding 1: both describe the same 'bar is too high' mechanism and finding 1 uses the call summary as its cross-check, so treat them as one source cluster and count the larger residual. Independent same-direction datum from a third file: quote.json shows the shares at $92.68 on 2026-05-12 and $125.96 on 2026-08-28, i.e. the entire move postdates the Q1 release.",https://www.govconwire.com/articles/saic-19b-q1-revenue-fy27-earnings-outlook,govconwire.com,govconwire.com,2026-06-01,91,80.0,adversary,-7.0,7.0,3,1,1.79,0,1
2026-08-31,2026-08-31,SAIC,bmo,backtest/runs/edge-corpus/2026-08-31,SAIC,SAIC#2,,,,"An 8-K carrying items 1.01, 2.03 and 9.01 - entry into a material definitive agreement plus creation of a direct financial obligation, event-dated 2026-08-14 - was accepted 2026-08-19T20:03:23Z, seventeen days before the print, and nothing in this 108-item capture covers it; it sits inside a three-week cluster with an item 5.02 8-K accepted 2026-08-10T11:00:07Z and two new Form 3s accepted 2026-08-20T20:28, while management runs a portfolio review and a $400m buyback programme.","The capture ran seven distinct queries including 'SAIC backlog book-to-bill fiscal 2027 guidance' and 'SAIC short interest price target' and returned 11 news items covering the earnings date, three contract awards, eight target changes and the 2026-08-28 dividend declaration - and not one word about a new financing agreement. New balance-sheet capacity taken on two weeks before results, in a company whose CEO said on the last call that they are 'exploring market opportunities aligned with their strategy' and reducing enterprise IT, plus two fresh Section 16 insiders and a third item-5.02 change in five months (2026-04-09, 2026-06-01, 2026-08-10), is the signature of a structural action being executed around the print. Be clear about the limit: item 2.03 also covers a routine revolver amendment, the body is not stored, and I therefore cannot sign this with any confidence - the small negative reflects that a leverage-increasing action at a 52-week high is more often a debit than a credit, not knowledge of what the agreement says.",-1.0,-5.0,5.0,10.0,-1,1.0,0.1429,0,"none - no other source in this corpus mentions the 2026-08-19 8-K, which is precisely the point of the finding.",https://www.sec.gov/Archives/edgar/data/1571123/000157112326000123/saic-20260814.htm,sec.gov,sec.gov,2026-08-19,12,38.0,adversary,-7.0,7.0,3,1,1.79,0,1
2026-08-31,2026-08-31,GAUZ,bmo,backtest/runs/edge-corpus/2026-08-31,GAUZ,GAUZ#0,,,,"The shareholder meeting held on the print date 2026-08-31 was called to authorise the Board to effect one or more reverse share splits at an aggregate ratio anywhere in the range 1-for-2 to 1-for-1,000, an authorisation ceiling that is three orders of magnitude wider than a listing-compliance split needs and is the mechanical precondition for a recapitalisation that leaves existing holders with a rounding error.","Exactly one participant in 90 captured messages read the filing (the 08-21 bearish post); the rest of the flow on the same days is 'buck by friday', 'buyout news possibly', 'Pt of today is over 5$'. The stock closed up at 0.50 on 08-26 after the proxy, and the 20-day run-in is +42%: if a 1-for-1,000 authorisation were priced, a $0.39 share would not be rallying into the vote on 45m-share sessions. The ratio range itself is in the 6-K body, not in any wire copy in this capture - there is no news item, preview or analyst note on GAUZ anywhere in the 26 captured items.",-7.5,-20.0,6.0,26.0,-1,7.5,0.6122,0,"Different corpus source pointing the same way: the FY2025 annual report is still not filed - NT 20-F of 2026-04-30 (https://www.sec.gov/Archives/edgar/data/1781446/000121390026050201/ea0288190-nt20f_gauzy.htm) with no 20-F anywhere in the 400-day filings index, followed by a SEC STAFF ACTION entry on 2026-05-27.",https://www.sec.gov/Archives/edgar/data/1781446/000121390026090837/ea0302469-6k_gauzy.htm,sec.gov,sec.gov,2026-08-17,14,80.0,adversary,-12.25,12.25,2,1,-7.08,1,1
2026-08-31,2026-08-31,GAUZ,bmo,backtest/runs/edge-corpus/2026-08-31,GAUZ,GAUZ#1,,,,"The corpus shows the retail flow that is setting this $10m price reading the creditor process as debt relief - 'debt getting resolved today!! Then Sept 6', 'yeah debt settlement, clear skies ahead' - when the underlying 6-K is notice of creditor meetings on 2026-08-27 to vote on a proposed debt settlement with a court hearing on 2026-09-06, i.e. a court-supervised arrangement in which the creditors, not the shareholders, are being asked to approve the terms.","The mispricing is legible in the capture itself: the same document that reports the creditor meeting is being quoted as bullish, and the stock rose from 0.33 on 08-20 to 0.50 on 08-26 across the notice. A market pricing a debt-for-equity arrangement in a company whose equity is worth $10m against >$100m of annual revenue and an IPO raise of ~$300m would be marking the stub down, not up 42% in twenty days. There is no sell-side coverage in the capture (n_estimates = 2, consensus EPS null) to correct the read.",-4.75,-18.0,8.0,26.0,-1,4.75,0.3878,0,"Points the same way as, and is chronologically bracketed by, the reverse-split authorisation above; but note both findings are 6-K index entries whose bodies I could not open and whose content reaches me through the same stocktwits aggregate - treat them as one source cluster and count the larger residual only.",https://www.sec.gov/Archives/edgar/data/1781446/000121390026093032/ea0303160-6k_gauzyltd.htm,sec.gov,sec.gov,2026-08-24,7,85.0,adversary,-12.25,12.25,2,1,-7.08,1,1
2026-08-31,2026-08-31,CANG,amc,backtest/runs/edge-corpus/2026-08-31,CANG,CANG#0,,,,"Cango exited the March quarter with only US$7.2m of cash equivalents against ~US$100m of quarterly revenue and an active S21 fleet purchase programme, while an F-3 shelf filed 2025-12-17 went effective 2025-12-19 and has never been drawn in the capture window - a Q2 report is the natural venue for a raise into a stock that has just doubled off its low.","A $106m Chinese-domiciled ADR with one estimate on the tape and no sell-side preview in the capture has no analyst pointing at the funding gap; if the market were pricing a raise, the 20-day tape would not be +48% on retail momentum volume and the 08-21 to 08-27 advance would have faded rather than extended. The shelf is 8 months old, so the *capacity* is public but the timing is not, and the cash number reaches the corpus only via a retail restatement of the Q1 release.",-3.25,-8.0,1.0,9.0,-1,3.25,0.4333,0,"The 10-for-1 reverse share consolidation effective 2026-07-20, quoted verbatim from company resolution text in docs/268302313e584d370128e2c166dffdd85291a247.txt (2026-05-22 and 2026-07-10 messages) and bracketed by the 6-Ks of 2026-07-10 and 2026-07-21 in filings.json, is a listing-compliance action by the same balance sheet: https://www.sec.gov/Archives/edgar/data/1725123/000110465926082390/tm2620198d1_6k.htm",https://www.sec.gov/Archives/edgar/data/1725123/000110465925121786/cang-20241231xf3.htm,sec.gov,sec.gov,2025-12-17,257,48.0,adversary,-7.5,7.5,2,1,-23.01,1,1
2026-08-31,2026-08-31,CANG,amc,backtest/runs/edge-corpus/2026-08-31,CANG,CANG#1,,,,"Company-published operating data show the June quarter running materially below the March quarter - hashrate 37.01 EH/s in Q1 falling to 31.58 EH/s in the April update with cash cost per coin held flat at US$68k, and the company's own weekly BTC output posts sliding from 55.2 to 45.6 by 2026-07-07 - while the stock's +48% 20-day move came on 4.14m shares on 08-21 (8x the 517k 20-day average) with zero SEC filings after 2026-07-21 to explain it.","For a miner, quarterly revenue is nearly mechanical in hashrate, so a 15% sequential hashrate decline with flat unit cash cost implies a worse Q2 than Q1 - yet the run-in is priced as a BTC-beta squeeze: the stocktwits flow in the same document is entirely 'top gainers', 'crypto related play', 'china high float, pump wont last', with not one message referencing Q2 production or the print date. A market that had done the hashrate arithmetic would not have marked the equity up 48% into it. Q1 itself carried a US$261.1m net loss on US$102m of revenue with revenue -43%, i.e. a loss 2.5x the current market cap, and the April update describes legacy hardware still being removed, which is the mechanism for further write-offs.",-4.25,-7.0,2.0,9.0,-1,4.25,0.5667,0,"Separate corpus file: filings.json shows no SEC filing at all between 2026-07-21 and the 2026-08-30 index sweep, so the 08-21 volume spike has no disclosure behind it - https://www.sec.gov/Archives/edgar/data/1725123/000110465926085217/tm2620856d1_6k.htm",https://www.prnewswire.com/news-releases/cango-inc-announces-april-2026-operational-and-fleet-optimization-update-continuing-strategic-fleet-modernization-and-enhancing-production-efficiency-302766696.html?tc=eml_cleartime,prnewswire.com,AGGREGATOR,2026-05-08,115,80.0,adversary,-7.5,7.5,2,1,-23.01,1,1
2026-08-31,2026-08-31,LX,bmo,backtest/runs/edge-corpus/2026-08-31,LX,LX#0,,,,"LexinFintech suspended its share repurchase programme at the Q1 2026 call - after buying 441k shares at $6.37 in late Aug 2025, 1.79m at $5.87 in September and 1.28m at $4.31 in October per the buyback table on p.174 of the FY2025 20-F - and the long thesis visible across the capture is almost entirely a bet that a new, larger buyback plus a maintained dividend lands with this print ('this will fucking fly like crazy when the new buyback is announced', 'Monday with the new buyback I wouldn't be surprised LX flying 50%').","The capture shows the option flow with calls leading puts 10:9 into the event and a retail base that has explicitly sized positions on a capital-return announcement, i.e. the price contains a call option on a corporate action that the company's own last call removed. A market pricing 'no buyback, dividend cut' would not have calls over puts and would not have bid the ADR up 2.2% on 2026-08-28 on the heaviest volume of the run-in (4.86m vs a 1.98m 20-day average). The buyback-suspension fact is not in any wire item in this capture - it reaches the corpus only as a shareholder recollection of the Q1 call, and the purchase prices come from page 174 of a 20-F that nobody aggregates.",-4.25,-16.0,10.0,26.0,-1,4.25,0.6071,0,"Same-direction, different corpus file: filings.json shows a Form 4 accepted 2026-08-21T12:27:05Z, ten days before the print and at the all-time low, preceded by 144 notices of intent to sell on 2025-09-19 and 2025-11-26 - https://www.sec.gov/Archives/edgar/data/1708259/000119312526360007/xslF345X06/ownership.xml (direction of the Form 4 transaction is not recoverable from the index, so this is corroboration of insider activity only, not of its sign).",https://www.otcmarkets.com/filing/html?id=19382032&guid=UxUXkWGmkE_ch3h#LX-20251231_HTM_item_13_defaults_dividend_arrearages_del,otcmarkets.com,otcmarkets.com,2026-08-20,11,72.0,adversary,-7.0,7.0,2,1,-9.32,1,1
